Site,Land cover,Taxonomic group,Trophic  level,N of individuals, Name ,Polyethylene,Polyester,Polyproplene,Epoxy resin,Polyacrylamide,Nylon,Cellophane,Poly isobutene film,Polystrene,Polyvinyl acetate,Zein,Aluminium silicate,Triglyceride film 
25,Arable and Horticulture,Stylommatophora,Herbivore,5,Pointed snail,0,0,0,0,0,1,0,0,0,0,0,0,0
25,Arable and Horticulture,Coleoptera,Herbivore,2,thick legged flower beetle,0,1,0,0,0,0,0,0,0,0,0,0,0
26,Arable and Horticulture,Coleoptera,Carnivore,6,7 spotted ladybird,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Arable and Horticulture,Lepidoptera,Herbivore,2,Broom moth,0,1,0,0,0,0,0,0,0,0,0,0,0
26,Arable and Horticulture,Stylommatophora,Herbivore,23,Kentish snail,0,0,0,0,0,1,0,0,0,1,0,0,0
27,Arable and Horticulture,Lepidoptera,Herbivore,1,Yellow barred brindle,0,0,1,0,0,0,0,0,0,0,0,0,0
28,Calcareous grassland,Hemiptera,Herbivore,1,Hairy shield bug,0,0,0,1,0,0,0,0,0,0,0,0,0
29,Arable and Horticulture,Coleoptera,Herbivore,1,Fire bug,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Arable and Horticulture,Stylommatophora,Herbivore,6,Round lipped snail,0,0,0,0,0,0,1,0,0,0,0,0,0
30,Arable and Horticulture,Coleoptera,Carnivore,2,Orange ladybird,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Arable and Horticulture,Coleoptera,Carnivore,5,6 spotted ladybird,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Arable and Horticulture,Isopoda,Detrivore,3,Common striped ,0,0,0,0,0,1,0,0,0,0,0,0,0
33,Arable and Horticulture,Isopoda,Detrivore,2,Common Pill,0,0,1,0,0,0,0,0,0,0,0,0,0
33,Arable and Horticulture,Stylommatophora,Herbivore,1,Kentish snail,0,1,0,0,0,0,0,0,0,0,0,0,0
33,Arable and Horticulture,Coleoptera,Omnivore,13,Red footed soldier beetle,0,1,0,0,0,0,0,0,0,0,0,0,0
33,Arable and Horticulture,Lepidoptera,Herbivore,1,Reddish light arches,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Suburban,Stylommatophora,Herbivore,2,Garden snail,0,1,0,0,0,0,0,0,0,0,0,1,0
